,0
0,6.0216803550720215
1,1.0051912069320679
2,6.3464226722717285
3,13.356826782226562
4,9.921226501464844
5,7.357925891876221
6,6.200687408447266
7,2.895808219909668
8,-0.1744622439146042
9,11.142446517944336
10,3.5037403106689453
11,13.943441390991211
12,4.255801677703857
13,8.377635955810547
14,0.8087877631187439
15,8.354460716247559
16,4.028141975402832
17,8.18198299407959
18,10.705551147460938
19,0.4511213004589081
20,2.8381292819976807
21,1.4104986190795898
22,2.9980838298797607
23,4.499766826629639
24,0.4761294722557068
25,5.481350421905518
26,9.275276184082031
27,4.985288143157959
28,16.236268997192383
29,3.6813364028930664
30,0.30527976155281067
31,6.663885593414307
32,12.942753791809082
33,0.5785236954689026
34,5.309693813323975
35,2.798813819885254
36,8.783761978149414
37,6.618258953094482
38,5.2174601554870605
39,2.666008949279785
40,7.201578617095947
41,2.2265758514404297
42,15.413236618041992
43,0.7664753198623657
44,6.347015857696533
45,15.217971801757812
46,3.603652000427246
47,-0.4029177129268646
48,3.1424713134765625
49,7.620664596557617
50,1.391564130783081
51,1.8374313116073608
52,14.067981719970703
53,0.13997238874435425
54,6.118777751922607
55,15.547905921936035
56,3.519850254058838
57,2.1290805339813232
58,1.8789830207824707
59,13.182753562927246
60,13.33481502532959
61,5.04672384262085
62,10.563050270080566
63,18.707094192504883
64,0.1851368546485901
65,1.1846070289611816
66,13.685168266296387
67,0.5160230398178101
68,12.085121154785156
69,4.28488826751709
70,6.158157825469971
71,14.664795875549316
72,4.5734148025512695
73,0.12495126575231552
74,2.9619436264038086
75,17.788463592529297
76,1.3333638906478882
77,7.386077880859375
78,11.432479858398438
79,15.904147148132324
80,0.8358020782470703
81,4.782031059265137
82,7.260781764984131
83,5.258876800537109
84,1.486691951751709
85,3.6684963703155518
86,-0.32973653078079224
87,3.4379050731658936
88,9.161077499389648
89,12.976814270019531
90,4.852670669555664
91,6.043417930603027
92,16.3504581451416
93,11.790005683898926
94,4.368110656738281
95,3.57663631439209
96,23.126754760742188
97,3.8802132606506348
98,7.645115375518799
99,12.449145317077637
100,10.185376167297363
101,3.219139575958252
102,2.7837183475494385
103,9.326472282409668
104,2.3545215129852295
105,1.277923583984375
106,0.8483338356018066
107,0.5160302519798279
108,3.402212142944336
109,3.3338966369628906
110,1.7690976858139038
111,0.7343713641166687
112,8.414151191711426
113,3.304757595062256
114,3.015352964401245
115,3.904925584793091
116,0.975373387336731
117,3.7960965633392334
118,5.028995037078857
119,0.9382660984992981
120,5.281506538391113
121,11.243847846984863
122,2.419851779937744
123,11.509475708007812
124,3.0857045650482178
125,2.719538688659668
126,9.950332641601562
127,7.911012172698975
128,4.985479831695557
129,6.171675205230713
130,0.9793895483016968
131,14.09293270111084
132,2.6501247882843018
133,12.468574523925781
134,5.459603309631348
135,4.304480075836182
136,0.9167545437812805
137,11.875077247619629
138,20.984270095825195
139,0.20300385355949402
140,9.169450759887695
141,10.895922660827637
142,11.192200660705566
143,12.423492431640625
144,6.204535484313965
145,-0.5679802298545837
146,2.085753917694092
147,3.6833267211914062
148,1.7158433198928833
149,1.3760873079299927
150,0.7441526651382446
151,7.468890190124512
152,0.2266892045736313
153,2.431879758834839
154,8.307244300842285
155,10.480278968811035
156,4.220063209533691
157,-0.31098318099975586
158,5.371725082397461
159,11.373222351074219
160,1.8118730783462524
161,5.299124717712402
162,2.754545211791992
163,2.3957178592681885
164,8.088419914245605
165,2.6341323852539062
166,9.21981143951416
167,3.7832694053649902
168,2.2997395992279053
169,5.003006935119629
170,3.1215286254882812
171,1.941167950630188
172,1.183835744857788
173,10.364758491516113
