r	delta	kon	koff	rp	rd	6	7	8	r/delta	KD	beta	approx-ratio	(max-min)	fold	avg_I_1	avg_I_2	avg_I_3	avg_I_4
20	0.748461	58.8342	3000	10000	36	1	0	0	26.72149918299016	220.97263940021278	273.12023926661857	0.09462632062553175	0.9677079999999982	3.979667632027264	24.316302	25.246006	25.28401	24.728153
20	0.896637	12.8176	3000	10000	36	1	0	-1	22.30557070475566	1014.3003867338658	272.0274109805726	0.07003310683903137	1.3004350000000002	7.764186438867604	17.68207	18.049582	17.71748	16.749147
20	0.41513	15.6653	3000	10000	36	1	0	0	48.17767928118902	829.8861260237595	275.6111300440229	0.1639607496510332	2.9349339999999984	7.271011379054245	40.364866	43.2998	43.11174	43.056525
20	0.866851	5.46342	3000	10000	36	-1	-1	-1	23.07201583663167	2379.620613278862	272.24638337025317	0.06129894400280497	2.8701030000000003	22.640625780215693	15.546886	15.020622	14.120246	12.676783
20	0.704172	86.7303	3000	10000	36	1	0	0	28.402151747016354	149.89806528975456	273.44859249242836	0.10153550955193259	1.3200690000000002	5.063673905398331	26.069392	27.352361	27.389461	27.029589
20	0.785764	13.4436	3000	10000	36	1	-1	-1	25.452934977932305	967.0613350590615	272.84429280848974	0.08162219801917366	1.7503299999999982	9.024448706274661	20.696789	21.145753	20.583251	19.395423
20	0.11486	31.4573	3000	10000	36	1	1	0	174.1250217656277	413.26225899870616	277.89433103160303	0.6190722366178844	27.855554000000012	21.41936755059806	130.048443	149.420985	156.765993	157.903997
20	0.505787	95.9631	3000	10000	36	1	0	0	39.542336991658544	135.47400810311464	274.9291718324002	0.1415485874505535	2.7398740000000004	7.673700375272409	35.70473	38.229193	38.203688	38.444604
20	0.869453	19.9732	3000	10000	36	1	-1	-1	23.002968533089195	650.9156996875814	272.2272406102689	0.07628894502132573	0.886810999999998	4.655894644942287	19.611441	19.93387	19.382743	19.047059
20	0.874416	95.9309	3000	10000	36	1	0	0	22.872408556110592	135.52332372572343	272.1907356037856	0.0819459106810623	0.765979999999999	3.6089227715592074	21.224616	21.990596	21.85222	21.803637
20	0.452277	81.0266	3000	10000	36	1	1	0	44.2206877643568	160.44672091634106	275.33128525825697	0.15795381632599456	3.3290020000000027	8.401894077039247	39.622042	42.305377	42.851623	42.951044
20	0.153441	45.0673	3000	10000	36	1	1	1	130.3432589725041	288.46088940318145	277.59884435343236	0.4641656735820126	19.828010000000006	19.287066794829432	102.804694	117.139601	121.192663	122.632704
