r	delta	kon	koff	rp	rd	6	7	8	r/delta	KD	beta	approx-ratio	(max-min)	fold	avg_I_1	avg_I_2	avg_I_3	avg_I_4
15.906	0.192579	10	3000	10000	36	1	1	1	82.59467543190068	1300.0192579	277.2997353684024	0.28089654794747904	11.962264000000005	18.746173511203992	63.811764	72.494326	74.72853	75.774028
9.80039	0.41766	10	3000	10000	36	1	1	0	23.464995450845187	1300.0417659999998	275.59205231747455	0.07067865406281547	2.0285969999999978	11.81224889981309	17.173673	18.751761	19.143725	19.20227
12.9298	0.647147	10	3000	10000	36	1	1	0	19.979695494223105	1300.0647147	273.8725376630274	0.058773865207550666	1.4203219999999988	9.663580215624512	14.697679	15.749136	15.959899	16.118001
15.0962	0.270142	10	3000	10000	36	1	1	0	55.882461816378054	1300.0270142	276.7088737066428	0.18567300150112778	6.720868000000003	15.287747745251767	43.962447	48.971111	50.166625	50.683315
13.5973	0.599935	10	3000	10000	36	1	0	0	22.664622000716747	1300.0599935	274.2245289506661	0.06814679603119769	1.5707839999999997	9.210065270875303	17.05508	18.403025	18.378953	18.625864
3.26061	0.133528	10	3000	10000	36	1	1	0	24.418923371877057	1300.0133528000001	277.7512765429382	0.07355336145442967	3.841095000000001	25.39451764369564	15.125686	17.665153	18.764227	18.966781
9.9723	0.864977	10	3000	10000	36	1	1	-1	11.528977071066631	1300.0864977	272.2601719512805	0.029865725026971768	0.5546410000000002	7.434878907965928	7.459987	7.881297	8.014628	7.745156
6.81431	0.539183	10	3000	10000	36	1	1	0	12.638213741902101	1300.0539183	274.6788066662574	0.033386228900622726	0.9730999999999987	11.94178065927316	8.148701	8.839727	9.121801	9.004977
4.484	0.683602	10	3000	10000	36	1	1	0	6.5593722663187055	1300.0683602000001	273.6013655910889	0.013873417253542322	0.36157499999999976	10.932600814559256	3.30731	3.579883	3.668885	3.640789
5.10935	0.470183	10	3000	10000	36	1	0	0	10.866726359736528	1300.0470183	275.19659506507	0.02745286330375905	0.7577990000000003	11.554049098827202	6.558731	7.213973	7.31653	7.293426
13.9845	0.805086	10	3000	10000	36	1	0	0	17.370193991697782	1300.0805086	272.70157950452824	0.04983600783149516	0.7548120000000011	5.995579164692805	12.589476	13.268837	13.293826	13.344288
19.1862	0.506078	10	3000	10000	36	1	1	0	37.91154723184963	1300.0506078	274.9269882675427	0.12220911000180769	2.877489000000004	9.426454016844456	30.525678	32.934641	33.403167	33.303817
2.7811	0.159886	10	3000	10000	36	1	1	0	17.394268416246575	1300.0159886	277.549544431639	0.04923541675331945	2.437605999999999	23.51546454408028	10.36597	12.079281	12.699618	12.803576
5.15759	0.761424	10	3000	10000	36	1	1	0	6.773611023555864	1300.0761424	273.0242828460617	0.014536993938407341	0.32423999999999964	9.290105195599624	3.490165	3.726319	3.814405	3.776964
5.0931	0.738428	10	3000	10000	36	1	0	0	6.8972194987189	1300.0738428	273.1945533434365	0.014906879509517868	0.37596700000000016	10.364398474425123	3.627485	3.88376	3.860622	4.003452
4.87806	0.838459	10	3000	10000	36	1	0	0	5.8178873385579974	1300.0838459000001	272.45543737320827	0.011707926914961243	0.25240600000000013	8.938962573765057	2.823661	2.996239	2.97511	3.076067
7.00617	0.201038	10	3000	10000	36	1	1	0	34.849978611008865	1300.0201038	277.2351731461402	0.11044604298735787	4.838449999999998	19.399293671575077	24.941372	28.343775	29.377899	29.779822
5.02917	0.565959	10	3000	10000	36	1	0	1	8.88610305693522	1300.0565959	274.4784010450813	0.021068068644355547	0.6495979999999992	12.754889962228036	5.092933	5.534438	5.534245	5.742531
9.47104	0.335944	10	3000	10000	36	1	1	0	28.192317767246923	1300.0335944	276.2095831059185	0.08719562254255843	2.7703300000000013	13.269256366891764	20.877809	22.991478	23.648139	23.352191
16.6183	0.53918	10	3000	10000	36	1	1	0	30.821432545717574	1300.053918	274.678829136286	0.09696573189143493	2.3852959999999968	9.875597404675553	24.153435	26.044089	26.517537	26.538731
10.999	0.827958	10	3000	10000	36	1	0	0	13.284490276076808	1300.0827958	272.53283926304033	0.03576892276866388	0.6497520000000012	7.239434636156453	8.975176	9.490013	9.601126	9.624928
5.72392	0.688764	10	3000	10000	36	1	0	0	8.310422728249442	1300.0688764000001	273.56301138953603	0.019281662056076926	0.4447050000000008	9.510276522028132	4.676047	5.045049	5.120752	5.053872
15.077	0.360988	10	3000	10000	36	1	1	0	41.76593127749399	1300.0360988	276.0200297087637	0.13553909769139896	4.228543000000002	12.853843783050973	32.897109	36.152658	36.780928	37.125652
11.3608	0.095993	10	3000	10000	36	1	1	1	118.3502963757774	1300.0095993	278.039060817637	0.4080714265813676	21.189706	26.137814333781535	81.069158	95.043699	100.280826	102.258864
1.08846	0.491794	10	3000	10000	36	1	0	-1	2.2132437565322065	1300.0491794	275.03421163673124	0.0025633169774248307	0.083071	14.90367537038964	0.557386	0.617541	0.640457	0.562813
15.5856	0.842589	10	3000	10000	36	1	0	1	18.497274471895548	1300.0842589	272.4250076182214	0.05381648597631724	1.2172999999999998	8.913563114294828	13.656716	14.306998	14.473887	14.874016
2.60683	0.524877	10	3000	10000	36	1	0	0	4.966554068858037	1300.0524877	274.78600070302764	0.00923928462335452	0.2783870000000004	12.991951987268804	2.142765	2.332398	2.378811	2.421152
9.39312	0.040355	10	3000	10000	36	1	1	1	232.762235162929	1300.0040355	278.4667452637467	0.8165610085844044	42.16183799999999	34.05833110595957	123.793024	150.297086	161.812434	165.954862
6.74908	0.171099	10	3000	10000	36	1	1	0	39.445467244110134	1300.0171099	277.4638143839644	0.12666277966274253	5.687457000000002	20.394418667895714	27.887321	31.893768	33.246136	33.574778
15.8877	0.300757	10	3000	10000	36	1	1	1	52.825703142404	1300.0300757	276.47634888165004	0.17486966235164123	5.972301999999999	14.258984645936776	41.884483	46.178862	47.234539	47.856785
