"Channel","FCS Filename","Population","Mean"
"pS6","BC1_CT604_Ly49H_128min_CD45_cis-","G0","275.58457932548686"
"pS6","BC1_CT604_Ly49H_128min_CD45_cis-","G1","210.2088245604578"
"pS6","BC1_CT604_Ly49H_128min_CD45_cis-","S","261.51763081727796"
"pS6","BC1_CT604_Ly49H_128min_CD45_cis-","G2","252.32186273826468"
"pS6","BC1_CT604_Ly49H_128min_CD45_cis-","M","1663.6822509765625"
"pS6","BC1_CT604_Ly49H_256min_CD45_cis-","G0","205.7321311774634"
"pS6","BC1_CT604_Ly49H_256min_CD45_cis-","G1","154.20358205267692"
"pS6","BC1_CT604_Ly49H_256min_CD45_cis-","S","168.6200128956768"
"pS6","BC1_CT604_Ly49H_256min_CD45_cis-","G2","126.4199368412365"
"pS6","BC1_CT604_Ly49H_256min_CD45_cis-","M","1498.0149871826172"
