"Channel","FCS Filename","Population","Mean"
"pS6","debarcode_IL2_PBS_CD56dim","S","25.177128591551128"
"pS6","debarcode_IL2_PBS_CD56dim","G2-M","28.31766870059073"
"pS6","debarcode_IL2_NKG2D_2min_CD56dim","G0","6.653801482708273"
"pS6","debarcode_IL2_NKG2D_2min_CD56dim","G1","18.09536995651211"
"pS6","debarcode_IL2_NKG2D_2min_CD56dim","S","26.239440220031153"
"pS6","debarcode_IL2_NKG2D_2min_CD56dim","G2-M","21.397700358722997"
"pS6","debarcode_IL2_NKG2D_4min_CD56dim","G0","9.535988672981993"
"pS6","debarcode_IL2_NKG2D_4min_CD56dim","G1","26.615308902860463"
"pS6","debarcode_IL2_NKG2D_4min_CD56dim","S","26.472934541672096"
"pS6","debarcode_IL2_NKG2D_4min_CD56dim","G2-M","36.64174973207927"
"pS6","debarcode_IL2_NKG2D_8min_CD56dim","G0","5.812566280656872"
"pS6","debarcode_IL2_NKG2D_8min_CD56dim","G1","17.824965706194792"
"pS6","debarcode_IL2_NKG2D_8min_CD56dim","S","19.823912800204624"
"pS6","debarcode_IL2_NKG2D_8min_CD56dim","G2-M","32.57858392643271"
"pS6","debarcode_IL2_NKG2D_16min_CD56dim","G0","7.502661245407757"
"pS6","debarcode_IL2_NKG2D_16min_CD56dim","G1","19.681780972055478"
"pS6","debarcode_IL2_NKG2D_16min_CD56dim","S","18.995295424121988"
"pS6","debarcode_IL2_NKG2D_16min_CD56dim","G2-M","33.14360862639844"
"pS6","debarcode_IL2_NKG2D_32min_CD56dim","G0","7.244709015991615"
"pS6","debarcode_IL2_NKG2D_32min_CD56dim","G1","21.99881758537618"
"pS6","debarcode_IL2_NKG2D_32min_CD56dim","S","17.832144107662625"
"pS6","debarcode_IL2_NKG2D_32min_CD56dim","G2-M","29.630168014477324"
"pS6","debarcode_IL2_NKG2D_64min_CD56dim","G0","9.713783043877292"
"pS6","debarcode_IL2_NKG2D_64min_CD56dim","G1","19.436816408232403"
"pS6","debarcode_IL2_NKG2D_64min_CD56dim","S","24.196663788033224"
"pS6","debarcode_IL2_NKG2D_64min_CD56dim","G2-M","28.804072532560525"
"pS6","debarcode_IL2_NKG2D_256min_CD56dim","G0","3.633940664842697"
"pS6","debarcode_IL2_NKG2D_256min_CD56dim","G1","12.429778056673406"
"pS6","debarcode_IL2_NKG2D_256min_CD56dim","S","13.184901727274786"
"pS6","debarcode_IL2_NKG2D_256min_CD56dim","G2-M","15.747430984413203"
